loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
,,,11.904761904761905,500,1.3784810304641724,0.9761904761904762,0.3762575452716298,3.5957,38.935,2.503,,,,,
0.4047,2.963472604751587,6.476126429051782e-06,13.095238095238095,550,,,,,,,,,,,
,,,13.095238095238095,550,1.4764831066131592,0.9841269841269841,0.4044265593561368,3.542,39.526,2.541,,,,,
0.3613,2.5145182609558105,6.139878950907868e-06,14.285714285714286,600,,,,,,,,,,,
,,,14.285714285714286,600,1.3639249801635742,0.9809523809523809,0.3607097128223889,3.5799,39.107,2.514,,,,,
0.3281,12.330469131469727,5.803631472763954e-06,15.476190476190476,650,,,,,,,,,,,
,,,15.476190476190476,650,1.4331265687942505,0.9793650793650793,0.3822937625754527,3.5733,39.18,2.519,,,,,
0.2896,4.234862327575684,5.467383994620041e-06,16.666666666666668,700,,,,,,,,,,,
,,,16.666666666666668,700,1.4105043411254883,0.9809523809523809,0.37296506310590816,3.6589,38.263,2.46,,,,,
0.2903,5.106099605560303,5.131136516476127e-06,17.857142857142858,750,,,,,,,,,,,
,,,17.857142857142858,750,1.4395146369934082,0.9873015873015873,0.37552588256813607,3.6417,38.444,2.471,,,,,
0.3066,2.184403657913208,4.794889038332213e-06,19.047619047619047,800,,,,,,,,,,,
,,,19.047619047619047,800,1.4222164154052734,0.9888888888888889,0.37077007499542713,3.5778,39.13,2.516,,,,,
0.2572,14.025452613830566,4.458641560188299e-06,20.238095238095237,850,,,,,,,,,,,
,,,20.238095238095237,850,1.370540738105774,0.9825396825396825,0.3413206511798061,3.6288,38.581,2.48,,,,,
0.2427,10.940207481384277,4.1223940820443846e-06,21.428571428571427,900,,,,,,,,,,,
,,,21.428571428571427,900,1.378005862236023,0.9682539682539683,0.3420523138832998,3.5453,39.489,2.539,,,,,
0.2359,4.344250202178955,3.7861466039004712e-06,22.61904761904762,950,,,,,,,,,,,
,,,22.61904761904762,950,1.3623298406600952,0.9698412698412698,0.3338211084689958,3.5586,39.342,2.529,,,,,
0.2554,2.3104913234710693,3.4498991257565574e-06,23.80952380952381,1000,,,,,,,,,,,
,,,23.80952380952381,1000,1.3816088438034058,0.9761904761904762,0.3394914944210719,3.5831,39.072,2.512,,,,,
0.2371,22.64195442199707,3.1136516476126432e-06,25.0,1050,,,,,,,,,,,
,,,25.0,1050,1.4187769889831543,0.9777777777777777,0.35284433875983173,3.6024,38.864,2.498,,,,,
0.1956,3.6822526454925537,2.7774041694687295e-06,26.19047619047619,1100,,,,,,,,,,,
,,,26.19047619047619,1100,1.3944268226623535,0.9650793650793651,0.34333272361441375,3.6021,38.866,2.499,,,,,
0.2049,3.9290928840637207,2.4411566913248153e-06,27.38095238095238,1150,,,,,,,,,,,
,,,27.38095238095238,1150,1.3706690073013306,0.9634920634920635,0.3307115419791476,3.6657,38.192,2.455,,,,,
0.1992,1.7844125032424927,2.104909213180901e-06,28.571428571428573,1200,,,,,,,,,,,
,,,28.571428571428573,1200,1.4121379852294922,0.9714285714285714,0.3415035668556795,3.5796,39.11,2.514,,,,,
0.2122,1.6999939680099487,1.7686617350369873e-06,29.761904761904763,1250,,,,,,,,,,,
,,,29.761904761904763,1250,1.4311882257461548,0.9666666666666667,0.3477226998353759,3.5836,39.067,2.511,,,,,
0.1948,11.255979537963867,1.4324142568930735e-06,30.952380952380953,1300,,,,,,,,,,,
,,,30.952380952380953,1300,1.4532849788665771,0.9777777777777777,0.35046643497347724,3.4987,40.015,2.572,,,,,
0.1828,3.9906370639801025,1.0961667787491595e-06,32.142857142857146,1350,,,,,,,,,,,
,,,32.142857142857146,1350,1.4261949062347412,0.9698412698412698,0.3436985549661606,3.6905,37.935,2.439,,,,,
0.1889,2.715811252593994,7.599193006052455e-07,33.333333333333336,1400,,,,,,,,,,,
,,,33.333333333333336,1400,1.4191951751708984,0.9682539682539683,0.343881470642034,3.5898,38.999,2.507,,,,,
0.1873,3.29360032081604,4.2367182246133154e-07,34.523809523809526,1450,,,,,,,,,,,
,,,34.523809523809526,1450,1.4188190698623657,0.9682539682539683,0.33747942198646425,3.6434,38.426,2.47,,,,,
,,,34.523809523809526,1450,,,,,,,1033.3949,22.957,1.463,1.2214939335650763e+19,0.8262579648248081
